Prix,Boite_de_vitesses,Mode_de_transmission,Immatriculation
22867355.0,29295262.692050073,41172700.47964377,cbce4885-defa-41f1-a53e-75840c4a777a
27474209.0,14065157.677058354,19470409.716355532,b3693beb-7323-4132-8b25-e78eaba36608
29642769.0,24202373.90138675,19470409.716355532,a0a23921-0132-42da-bc16-b329bac931d2
23768696.0,24202373.90138675,19470409.716355532,11860bd8-8581-4a22-9b44-cf2a8d868799
21465269.0,24202373.90138675,33864912.690795355,6c8d28fc-90c3-4fcf-834a-35a59c03d805
32856884.0,24202373.90138675,33864912.690795355,2ac0f21c-3089-4c45-8713-91fa0819fa9c
23631158.0,24202373.90138675,41172700.47964377,6abe6ed1-8905-4bb5-8aaa-aa9646ba8c78
44205769.0,40158231.57353714,41172700.47964377,b5644d3e-9bd2-4425-bd26-dd388fdf33a1
22633674.0,24202373.90138675,19470409.716355532,ea076145-7cef-4347-a923-ca6540c5e5c4
15529772.0,14065157.677058354,19470409.716355532,81c8b33a-bebe-4742-a434-572450e65f73
29604044.0,10725118.066160789,7465621.600713013,5a4042f8-e2d7-4429-9194-877534b2f506
15042380.0,24202373.90138675,19470409.716355532,1ff2166d-9647-4897-a5bc-180ebc612580
11847627.0,14065157.677058354,19470409.716355532,10998f9c-ef04-4db7-9c0e-59a2a3c4c251
23241245.0,29809416.300904978,19470409.716355532,dbeee301-e6bd-44a8-9635-e8e0f305ff65
16951887.0,24202373.90138675,21990898.34885446,38b6fe37-6797-458b-8ca4-753ba0e02d96
31780616.0,29295262.692050073,41172700.47964377,e7f307e1-6ad6-4869-996e-97f587ef54cd
10157779.0,14065157.677058354,21990898.34885446,3ff9f950-9b07-47c7-9fd8-569c12b6fe30
14151054.0,6858093.216200304,7465621.600713013,021027ae-723e-4754-8313-fd765a1582b6
21271648.0,24202373.90138675,41172700.47964377,01cb4381-d77f-4d25-96ba-1cf10bcdfca1
31713850.0,29295262.692050073,41172700.47964377,32e2c3dd-0292-4559-be4e-98b98642d91d
21455922.0,14065157.677058354,19470409.716355532,70938c05-a65a-409d-b70b-1870622fe67d
24102526.0,24881245.477915,19470409.716355532,0f42be44-595e-477b-8aec-f3e8d14bf6fe
15589861.0,14065157.677058354,19470409.716355532,391375c9-fe49-42d7-a9dd-99507d0b532d
79551689.0,47314850.72588492,41172700.47964377,fa860c12-f914-4d9d-bef6-0aee9d4b0c71
26579545.0,24202373.90138675,19470409.716355532,9f6f56a5-ca04-4934-9d81-1504ea0932cb
41228005.0,34212183.78684155,33864912.690795355,68d589fd-2fa6-481b-af81-52c42bc0dc2d
34284341.0,36789851.153664306,33864912.690795355,a275c0ec-ca70-4180-991c-b72a5d0bac6c
30437284.0,27398114.595948987,41172700.47964377,ad0e57ee-b97d-427c-be2e-d2b624b1e1ca
20830992.0,24202373.90138675,19470409.716355532,fc294628-c84e-416e-a675-ac9b806ec419
20664077.0,24202373.90138675,33864912.690795355,ecb2b998-ad0c-4949-a53f-c4e2fa8f688b
8539371.0,14065157.677058354,19470409.716355532,991277c7-5db7-4acf-99e3-0632480863f1
76280155.0,56590681.6535342,41172700.47964377,7fc41644-cd04-46e1-a53d-c33bd2bb7a85
16457819.0,21043661.273426056,19470409.716355532,a6d62ed3-c347-410d-9b30-6621c4214d43
17385866.0,24202373.90138675,19470409.716355532,2f994de7-81b4-4458-8f4e-4b11f2609c4d
3871760.0,2232150.4466731064,7465621.600713013,6422e9bf-cdfe-4fc4-8c29-cb6a53e45cf7
1868780.0,2232150.4466731064,7465621.600713013,c650bfe2-a40f-43dc-89c8-c7aa28bbdd5b
10816092.0,14065157.677058354,19470409.716355532,9a78622c-1a7b-449c-8fe3-ac607e56211b
64682901.0,56590681.6535342,19470409.716355532,d35aed2f-a03d-466b-afa2-8646036c742a
17025330.0,14065157.677058354,19470409.716355532,ecb5bcb0-b6bd-4874-ae6e-546033b0cba9
31012807.0,36789851.153664306,41172700.47964377,c5df41d2-f6a1-4a93-aeba-f3f3d95b88ba
107660175.0,47314850.72588492,41172700.47964377,77e512ef-120b-42bf-af5f-dfb25afd8c17
52077480.0,56590681.6535342,41172700.47964377,d6845ec0-8d54-463a-b845-957aba2190be
15322797.0,14065157.677058354,19470409.716355532,26459f8e-c057-401d-8012-142cee726942
23601781.0,24202373.90138675,19470409.716355532,ccbf4468-f915-406e-860d-8376586438e6
31286548.0,29437328.610117294,41172700.47964377,b9227839-069b-40e2-9f0c-6735d80b6b84
22299844.0,24202373.90138675,19470409.716355532,306f2ed5-bf17-4196-96b7-9d827f103c80
30905981.0,36789851.153664306,33864912.690795355,3029ee8e-23c9-4841-a4a6-525588a74069
12418476.0,14065157.677058354,19470409.716355532,22745bb4-bcca-4b11-baae-2e2ac0d439d9
21164822.0,24678235.832407784,19470409.716355532,2bba04ca-9cc1-42cd-8b39-11de0c393e7e
