Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Puissance_reelle_maxi_kW,Alesage,Course,Prix,Energie_Electrique,Energie_Essence,Energie_Gaz,Energie_Hybride,Norme_anti-pollution_Euro 3,Norme_anti-pollution_Euro 4,Norme_anti-pollution_Euro 5,Norme_anti-pollution_Euro 6,Norme_anti-pollution_nan,Architecture,Alimentation,Injection,Disposition_du_moteur,Puissance_reelle_maxi_ch,Immatriculation
1498.0,5000.0,250.0,16.0,10.4,110.0,76.7,83.08,20296864.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,25432239.118049614,31460359.978947368,21681371.152758133,25103235.304740407,f10f71dd-1245-47b6-ba77-45ad66f9aa69
1976.0,6000.0,300.0,16.0,10.0,149.0,87.5,83.1,18961544.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,25432239.118049614,31460359.978947368,21681371.152758133,23816980.731030576,8193669f-0db8-4bf9-903f-3111e3f6c982
2998.0,3100.0,470.0,16.0,17.5,155.0,95.8,104.0,43689000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,33048149.61551384,67d69447-2bfb-4ac3-8e7e-8ee51b3284c4
1598.0,5500.0,240.0,16.0,10.5,135.0,77.0,85.8,22132929.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,30536239.086159073,31460359.978947368,21681371.152758133,29236868.341973256,7ed05991-a88e-4ac4-936f-ff9295e9cbfb
998.0,1500.0,180.0,12.0,11.6,103.0,75.5,84.08,14988967.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16131529.103305785,25432239.118049614,28931117.84985374,21681371.152758133,21464098.990968496,84957746-0d8e-4afd-b0e5-b4fa51ac2d6e
1870.0,2000.0,270.0,8.0,18.3,88.0,80.0,93.0,17526075.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,19422344.035949055,34993d59-d916-4f55-8807-85a6731f9e82
2299.0,1500.0,360.0,16.0,16.0,120.0,85.0,101.3,23699259.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,50516393.43037311,26680972.63857678,21681371.152758133,28993201.101633847,76d7e92a-3801-4097-95b0-042528f8393c
1499.0,4400.0,220.0,12.0,11.0,100.0,82.0,94.6,23635164.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16131529.103305785,30536239.086159073,31460359.978947368,21681371.152758133,25504888.160491057,e4fd3538-f7a8-4efd-8622-32d872d43458
1598.0,1750.0,320.0,16.0,16.5,88.0,79.5,80.5,15683333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,19422344.035949055,9077516f-61ed-44fc-89c1-6a03aabec79c
1968.0,4200.0,350.0,16.0,16.5,125.0,81.0,95.5,32054357.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23072341.52934103,26276015.74640598,26680972.63857678,21681371.152758133,28607188.75370937,6de922b2-94d3-413b-8297-2e8c5dad89ea
50.0,6700.0,72.2,4.8,11.96,0.0,46.260000000000005,44.64,813210.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8798244.211382125,12179055.950261781,7645246.457534265,16749752.859122401,5304579.614093546,c5997c68-c67d-467d-9651-c7b57b93623d
