Mixte,Emission_de_CO2,Cycle_urbain,Extra_urbain,Prix,Immatriculation
3.6,93.0,4.1,3.2,14054243.0,d485b18c-1176-4088-bdcb-57fc669e26e9
7.0,183.0,8.1,6.3,30805832.0,131a2973-fefd-4a5c-a991-90c966d16dd0
6.1,161.0,7.8,5.2,24135909.0,503175c8-90b9-4716-9dbb-89f7f4ff6637
5.2,137.0,6.2,4.7,24035760.0,4e8d8cdf-3704-4447-9c5b-d4ae60a01261
9.5,248.0,12.4,7.8,43566150.0,f9aa35ea-634b-4794-8528-6977a5353eef
2.7,65.4,8.419999999999998,5.279999999999999,2649943.0,427dee2e-b3d4-439f-9740-1a3c5f338ba0
7.0,149.0,8.4,6.1,39271761.0,f1eab354-346c-4d1f-8df3-8765d0742716
6.3,166.0,7.6,5.6,46836349.0,3508df78-e16b-4e65-ba6f-d025065ca527
6.4,169.0,8.6,5.1,26172272.0,8d3cfc7b-0031-404d-ba6d-3ec5fa22a0f0
6.7,153.0,8.2,5.8,20557251.0,23df446d-7660-438e-a991-8108e26a3947
9.0,238.0,11.2,7.8,43698347.0,d6cb2ccd-f294-486d-8ee6-910684a54395
4.5,119.0,5.2,4.1,23468249.0,3a6a2fc1-74be-41a2-81bd-0615b316cb86
7.7,183.0,10.2,5.7,17793139.0,312a3fcf-35d0-44bc-a078-6528fdc014e8
5.0,115.0,6.0,4.5,13119519.0,6513ee78-bb45-4d06-938d-810975cb64ad
5.82,175.0,8.3,5.9799999999999995,45761416.0,a913e5b6-913d-4e29-a767-7b17fb4daec8
4.7,123.0,5.6,4.2,27247205.0,a5659c44-33fc-49d3-a69f-c74543353636
7.62,196.4,9.18,5.739999999999999,24444368.0,217fdd77-7810-4a56-8380-959b7d024d15
5.8,132.0,7.3,4.9,25237548.0,61fc4152-da25-46cf-9793-788159a69c7e
6.4399999999999995,154.6,8.2,5.42,23134419.0,2531897c-d7c7-4ceb-8d32-e7f378541bed
6.0,148.6,7.62,5.0600000000000005,9414006.0,5c92b53e-08a9-4232-87dc-59e1b3fb9191
5.9,156.0,7.5,5.0,22867355.0,cbce4885-defa-41f1-a53e-75840c4a777a
9.3,222.0,13.0,7.1,27474209.0,b3693beb-7323-4132-8b25-e78eaba36608
5.58,194.0,6.720000000000001,4.92,29642769.0,a0a23921-0132-42da-bc16-b329bac931d2
5.92,112.0,7.659999999999999,4.94,23768696.0,11860bd8-8581-4a22-9b44-cf2a8d868799
4.2,107.0,4.8,3.9,21465269.0,6c8d28fc-90c3-4fcf-834a-35a59c03d805
8.8,230.0,9.46,6.460000000000001,32856884.0,2ac0f21c-3089-4c45-8713-91fa0819fa9c
6.9,180.0,6.519999999999999,4.779999999999999,23631158.0,6abe6ed1-8905-4bb5-8aaa-aa9646ba8c78
6.7,177.0,7.7,6.2,44205769.0,b5644d3e-9bd2-4425-bd26-dd388fdf33a1
4.9,128.0,6.82,5.0,22633674.0,ea076145-7cef-4347-a923-ca6540c5e5c4
5.0,135.0,6.5,4.3,15529772.0,81c8b33a-bebe-4742-a434-572450e65f73
6.7,157.6,7.42,4.960000000000001,29604044.0,5a4042f8-e2d7-4429-9194-877534b2f506
7.4,176.0,10.1,5.9,15042380.0,1ff2166d-9647-4897-a5bc-180ebc612580
6.339999999999999,153.0,8.32,5.159999999999999,11847627.0,10998f9c-ef04-4db7-9c0e-59a2a3c4c251
4.5,116.0,4.9,4.3,23241245.0,dbeee301-e6bd-44a8-9635-e8e0f305ff65
6.1,165.0,7.9,5.1,16951887.0,38b6fe37-6797-458b-8ca4-753ba0e02d96
8.1,194.0,11.1,6.3,31780616.0,e7f307e1-6ad6-4869-996e-97f587ef54cd
7.8,184.0,9.5,6.8,10157779.0,3ff9f950-9b07-47c7-9fd8-569c12b6fe30
5.180000000000001,120.4,6.82,4.64,14151054.0,021027ae-723e-4754-8313-fd765a1582b6
6.3,164.0,7.6,5.4,21271648.0,01cb4381-d77f-4d25-96ba-1cf10bcdfca1
8.3,193.0,11.2,6.6,31713850.0,32e2c3dd-0292-4559-be4e-98b98642d91d
5.420000000000001,133.8,6.839999999999999,4.58,21455922.0,70938c05-a65a-409d-b70b-1870622fe67d
10.3,244.0,14.9,7.6,24102526.0,0f42be44-595e-477b-8aec-f3e8d14bf6fe
5.7,151.0,7.3,4.9,15589861.0,391375c9-fe49-42d7-a9dd-99507d0b532d
10.280000000000001,209.0,13.52,7.44,79551689.0,fa860c12-f914-4d9d-bef6-0aee9d4b0c71
6.3,164.0,7.8,5.4,26579545.0,9f6f56a5-ca04-4934-9d81-1504ea0932cb
0.6,13.0,11.78,7.62,41228005.0,68d589fd-2fa6-481b-af81-52c42bc0dc2d
6.7,151.0,9.0,6.16,34284341.0,a275c0ec-ca70-4180-991c-b72a5d0bac6c
6.3,167.0,7.1,6.1,30437284.0,ad0e57ee-b97d-427c-be2e-d2b624b1e1ca
6.0,143.0,7.9,5.0,20830992.0,fc294628-c84e-416e-a675-ac9b806ec419
4.5,118.0,5.5,3.9,20664077.0,ecb2b998-ad0c-4949-a53f-c4e2fa8f688b
3.8,99.0,4.4,3.4,8539371.0,991277c7-5db7-4acf-99e3-0632480863f1
9.3,156.0,13.34,7.56,76280155.0,7fc41644-cd04-46e1-a53d-c33bd2bb7a85
8.6,205.0,11.9,6.7,16457819.0,a6d62ed3-c347-410d-9b30-6621c4214d43
4.3,109.0,4.9,3.9,17385866.0,2f994de7-81b4-4458-8f4e-4b11f2609c4d
3.96,86.6,8.419999999999998,5.279999999999999,3871760.0,6422e9bf-cdfe-4fc4-8c29-cb6a53e45cf7
2.66,61.0,8.419999999999998,5.28,1868780.0,c650bfe2-a40f-43dc-89c8-c7aa28bbdd5b
3.7,98.0,4.4,3.3,10816092.0,9a78622c-1a7b-449c-8fe3-ac607e56211b
6.1,158.0,7.5,5.3,64682901.0,d35aed2f-a03d-466b-afa2-8646036c742a
6.9,164.0,9.1,5.7,17025330.0,ecb5bcb0-b6bd-4874-ae6e-546033b0cba9
4.7,124.0,5.5,4.3,31012807.0,c5df41d2-f6a1-4a93-aeba-f3f3d95b88ba
12.1,276.0,15.559999999999999,8.919999999999998,107660175.0,77e512ef-120b-42bf-af5f-dfb25afd8c17
5.4,142.0,6.2,4.9,52077480.0,d6845ec0-8d54-463a-b845-957aba2190be
5.1,135.0,5.6,4.8,15322797.0,26459f8e-c057-401d-8012-142cee726942
6.2,141.0,7.9,5.2,23601781.0,ccbf4468-f915-406e-860d-8376586438e6
9.9,237.0,13.6,7.7,31286548.0,b9227839-069b-40e2-9f0c-6735d80b6b84
5.6,127.0,7.1,4.7,22299844.0,306f2ed5-bf17-4196-96b7-9d827f103c80
5.0,118.0,5.4,4.8,30905981.0,3029ee8e-23c9-4841-a4a6-525588a74069
5.9,159.0,7.7,4.8,12418476.0,22745bb4-bcca-4b11-baae-2e2ac0d439d9
3.6,76.0,3.5,3.8,21164822.0,2bba04ca-9cc1-42cd-8b39-11de0c393e7e
4.8,126.0,5.9,4.1,34417873.0,5cb4eede-510e-4f53-934a-51746beda263
3.8,99.0,4.3,3.5,8579431.0,5dcfaf59-920f-4f9e-9847-472ce539ba41
4.4,179.0,5.1,4.0,23034270.0,06fdab94-46c2-45a9-b5ef-11b7a907a91c
4.5,116.0,5.4,4.1,9941457.0,a9ea74ae-b1d7-4ffb-a355-070d5726495c
7.7,179.0,10.8,5.9,15471018.0,7eb1979d-ea06-42b5-91e4-9ebf9c73fa72
6.34,161.2,8.1,5.64,42250860.0,261509c4-9fda-4569-b44a-350bfa46af37
8.7,228.0,10.9,7.4,34334416.0,2ae3d44b-f010-4002-9e94-a0fb65b531ed
5.8,132.0,6.960000000000001,4.52,22139606.0,6be89964-37f9-4faa-b59d-c66fdcc081f4
6.6,153.0,9.1,5.1,22667057.0,500ed089-1aa1-4e54-96c5-586612d0e308
7.4,172.0,9.6,6.1,38136739.0,1e9d80a7-9783-4324-b21c-6d4c1632a500
7.5,196.0,6.580000000000001,4.6,28402256.0,a1978006-c959-482c-ae86-b48cce4e9ba8
2.5199999999999996,55.4,8.419999999999998,5.279999999999999,3561298.0,3be25402-45fb-435a-873f-b9c177dbabb3
7.3,165.0,10.0,5.7,5180374.0,f00dea92-5b3b-4cea-8487-28be86eac3e5
7.480000000000001,207.2,8.5,5.959999999999999,32808812.0,f7959523-243d-41ff-89f5-bf0298b0f8fa
2.5200000000000005,60.2,8.419999999999998,5.279999999999999,3337632.0,8521483e-0f43-4c0c-8984-5070ad808883
6.9,178.0,7.4,6.6,20818974.0,270a17cc-7d24-469e-a1cc-14cde09e179d
6.0,137.0,9.42,5.5200000000000005,19355463.0,bb8687f8-1929-4f1d-94d9-cfaebc7a21a3
8.3,194.0,11.2,6.6,32848872.0,f4ca5ba5-850b-4ee1-b90b-0fc2179881d6
7.0,163.0,9.4,5.6,26005357.0,820255f3-f681-4c68-9a9d-f9fd34b73f06
6.3,164.0,7.7,5.5,20784256.0,6c7122d5-1511-4eae-9851-fbe08943344a
6.960000000000001,170.2,9.139999999999999,5.640000000000001,36721300.0,d33d1f64-3092-48e6-b641-3eba2ca053a1
6.840000000000001,182.0,8.42,5.9399999999999995,24937101.0,d9f48f27-4520-45e2-8ba3-6a83cd74f917
