Nom_du_moteur,Energie,Architecture,Alimentation,Injection,Cylindree,Au_regime_de,Couple_maxi,Nombre_de_soupapes,Rapport_volumetrique,Norme_anti-pollution,Disposition_du_moteur,Puissance_reelle_maxi_ch,Puissance_reelle_maxi_kW,Alesage,Course,Immatriculation
160CDI,Diesel,Quatre cylindres en ligne,Turbo Haute Pression,Injection directe à rampe commune,1991.0,4200.0,180.0,16.0,18.0,Euro 4,Transversale Avant,82.0,60.0,83.0,92.0,3603ec70-24b3-4279-bb34-93a0076d5ae1
1.5BlueHDi100,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1499.0,1750.0,250.0,8.0,13.88,Euro 6,Transversale Avant,102.0,75.0,81.78,87.35,43e2ad09-7652-43a7-84ee-476562ae3cef
50.0,Essence,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,50.0,3497.79,294.79,15.58,13.88,Euro 6,Transversale Avant,150.0,112.62,81.78,87.35,4e7aea1c-2ee1-4870-8ff1-f5cbb0332d74
1.5FSI150,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1498.0,5000.0,250.0,16.0,13.88,Euro 6,Transversale Avant,150.0,110.0,81.78,87.35,f10f71dd-1245-47b6-ba77-45ad66f9aa69
2.0SCI,Essence,Quatre cylindres en ligne,Turbo,Injection directe essence,1976.0,6000.0,300.0,16.0,10.0,Euro 5,Transversale Avant,203.0,149.0,87.5,83.1,8193669f-0db8-4bf9-903f-3111e3f6c982
3.0HPi205,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,2998.0,3100.0,470.0,16.0,17.5,Euro 6,Transversale Avant,211.0,155.0,95.8,104.0,67d69447-2bfb-4ac3-8e7e-8ee51b3284c4
1.6,Essence,Quatre cylindres en ligne,Turbo à double entrée,Injection directe essence,1598.0,5500.0,240.0,16.0,10.5,Euro 5,Transversale Avant,184.0,135.0,77.0,85.8,7ed05991-a88e-4ac4-936f-ff9295e9cbfb
1.0EcoB140,Essence,Trois cylindres en ligne,Turbo,Injection directe,998.0,1500.0,180.0,15.58,13.88,Euro 6,Transversale Avant,140.0,103.0,81.78,87.35,84957746-0d8e-4afd-b0e5-b4fa51ac2d6e
1.9dCi120,Diesel,Quatre cylindres en ligne,Turbo à géométrie variable,Injection directe à rampe commune,1870.0,2000.0,270.0,8.0,18.3,Euro 3,Transversale Avant,120.0,88.0,80.0,93.0,34993d59-d916-4f55-8807-85a6731f9e82
2.3CDI163,Diesel,Quatre cylindres en ligne,Bi-Turbos,Injection directe à rampe commune,2299.0,1500.0,360.0,16.0,16.0,Euro 5,Transversale Avant,163.0,120.0,85.0,101.3,76d7e92a-3801-4097-95b0-042528f8393c
1.5,Essence,Trois cylindres en ligne,Turbo à double entrée,Injection directe essence,1499.0,4400.0,220.0,12.0,11.0,Euro 6,Transversale Avant,136.0,100.0,82.0,94.6,e4fd3538-f7a8-4efd-8622-32d872d43458
