Boite_de_vitesses,Mode_de_transmission,Prix,Immatriculation
Mécanique 5 rapports,Traction,11847627,10998f9c-ef04-4db7-9c0e-59a2a3c4c251
Mécanique robotisée 7 rapports à double embrayage,Traction,23241245,dbeee301-e6bd-44a8-9635-e8e0f305ff65
Mécanique 6 rapports,Transmission Intégrale débrayable,16951887,38b6fe37-6797-458b-8ca4-753ba0e02d96
Automatique 6 rapports,Transmission intégrale,31780616,e7f307e1-6ad6-4869-996e-97f587ef54cd
Mécanique 5 rapports,Transmission Intégrale débrayable,10157779,3ff9f950-9b07-47c7-9fd8-569c12b6fe30
Manuelle,,14151054,021027ae-723e-4754-8313-fd765a1582b6
Mécanique 6 rapports,Transmission intégrale,21271648,01cb4381-d77f-4d25-96ba-1cf10bcdfca1
Automatique 6 rapports,Transmission intégrale,31713850,32e2c3dd-0292-4559-be4e-98b98642d91d
Mécanique 5 rapports,Traction,21455922,70938c05-a65a-409d-b70b-1870622fe67d
Automatique séquentielle 5 rapports,Traction,24102526,0f42be44-595e-477b-8aec-f3e8d14bf6fe
Mécanique 5 rapports,Traction,15589861,391375c9-fe49-42d7-a9dd-99507d0b532d
Auto séquent. 9,Transmission intégrale,79551689,fa860c12-f914-4d9d-bef6-0aee9d4b0c71
Mécanique 6 rapports,Traction,26579545,9f6f56a5-ca04-4934-9d81-1504ea0932cb
Automatique 9,Propulsion,41228005,68d589fd-2fa6-481b-af81-52c42bc0dc2d
Automatique 8 rapports,Propulsion,34284341,a275c0ec-ca70-4180-991c-b72a5d0bac6c
Rob double embray 7,Transmission intégrale,30437284,ad0e57ee-b97d-427c-be2e-d2b624b1e1ca
Mécanique 6 rapports,Traction,20830992,fc294628-c84e-416e-a675-ac9b806ec419
Mécanique 6 rapports,Propulsion,20664077,ecb2b998-ad0c-4949-a53f-c4e2fa8f688b
Mécanique 5 rapports,Traction,8539371,991277c7-5db7-4acf-99e3-0632480863f1
Automatique séquentielle 8 rapports,Transmission intégrale,76280155,7fc41644-cd04-46e1-a53d-c33bd2bb7a85
Automatique 4 rapports,Traction,16457819,a6d62ed3-c347-410d-9b30-6621c4214d43
Mécanique 6 rapports,Traction,17385866,2f994de7-81b4-4458-8f4e-4b11f2609c4d
Variateur,,3871760,6422e9bf-cdfe-4fc4-8c29-cb6a53e45cf7
Variateur,,1868780,c650bfe2-a40f-43dc-89c8-c7aa28bbdd5b
Mécanique 5 rapports,Traction,10816092,9a78622c-1a7b-449c-8fe3-ac607e56211b
Automatique séquentielle 8 rapports,Traction,64682901,d35aed2f-a03d-466b-afa2-8646036c742a
Mécanique 5 rapports,Traction,17025330,ecb5bcb0-b6bd-4874-ae6e-546033b0cba9
Automatique 8 rapports,Transmission intégrale,31012807,c5df41d2-f6a1-4a93-aeba-f3f3d95b88ba
Auto séquent. 9,Transmission intégrale,107660175,77e512ef-120b-42bf-af5f-dfb25afd8c17
Automatique séquentielle 8 rapports,Transmission intégrale,52077480,d6845ec0-8d54-463a-b845-957aba2190be
Mécanique 5 rapports,Traction,15322797,26459f8e-c057-401d-8012-142cee726942
Mécanique 6 rapports,Traction,23601781,ccbf4468-f915-406e-860d-8376586438e6
Automatique 5 rapports,Transmission intégrale,31286548,b9227839-069b-40e2-9f0c-6735d80b6b84
Mécanique 6 rapports,Traction,22299844,306f2ed5-bf17-4196-96b7-9d827f103c80
Automatique 8 rapports,Propulsion,30905981,3029ee8e-23c9-4841-a4a6-525588a74069
Mécanique 5 rapports,Traction,12418476,22745bb4-bcca-4b11-baae-2e2ac0d439d9
Automatique à variation continue,Traction,21164822,2bba04ca-9cc1-42cd-8b39-11de0c393e7e
Mécanique 6 rapports,Transmission intégrale,34417873,5cb4eede-510e-4f53-934a-51746beda263
Mécanique 5 rapports,Traction,8579431,5dcfaf59-920f-4f9e-9847-472ce539ba41
Automatique 6 rapports,Traction,23034270,06fdab94-46c2-45a9-b5ef-11b7a907a91c
Mécanique 5 rapports,Traction,9941457,a9ea74ae-b1d7-4ffb-a355-070d5726495c
Automatique 6 rapports,Traction,15471018,7eb1979d-ea06-42b5-91e4-9ebf9c73fa72
Automatique 8 rapports,Propulsion,42250860,261509c4-9fda-4569-b44a-350bfa46af37
Automatique 7 rapports,Propulsion,34334416,2ae3d44b-f010-4002-9e94-a0fb65b531ed
Mécanique robotisée 7 rapports à double embrayage,Traction,22139606,6be89964-37f9-4faa-b59d-c66fdcc081f4
Automatique 6 rapports,Traction,22667057,500ed089-1aa1-4e54-96c5-586612d0e308
Automatique à variation continue 8 rapports,Traction,38136739,1e9d80a7-9783-4324-b21c-6d4c1632a500
Mécanique 6 rapports,Propulsion,28402256,a1978006-c959-482c-ae86-b48cce4e9ba8
Manuelle,,3561298,3be25402-45fb-435a-873f-b9c177dbabb3
Mécanique 5 rapports,Traction,5180374,f00dea92-5b3b-4cea-8487-28be86eac3e5
Mécanique 6 rapports,Propulsion,32808812,f7959523-243d-41ff-89f5-bf0298b0f8fa
Variateur,,3337632,8521483e-0f43-4c0c-8984-5070ad808883
Mécanique 6 rapports,Traction,20818974,270a17cc-7d24-469e-a1cc-14cde09e179d
Mécanique robotisée 7 rapports à double embrayage,Traction,19355463,bb8687f8-1929-4f1d-94d9-cfaebc7a21a3
Automatique 6 rapports,Transmission intégrale,32848872,f4ca5ba5-850b-4ee1-b90b-0fc2179881d6
Automatique 6 rapports,Propulsion,26005357,820255f3-f681-4c68-9a9d-f9fd34b73f06
Mécanique 6 rapports,Transmission intégrale permanente,20784256,6c7122d5-1511-4eae-9851-fbe08943344a
Automatique,Traction,36721300,d33d1f64-3092-48e6-b641-3eba2ca053a1
Mécanique 6 rapports,Traction,24937101,d9f48f27-4520-45e2-8ba3-6a83cd74f917
Mécanique 6 rapports,Traction,19963034,ec139903-d7d3-4e58-8ab3-cef614b70da8
Automatique 9,Transmission intégrale,37756173,6020639d-a47e-4676-895b-874ed05f3121
Mécanique 5 rapports,Traction,12251561,70a07920-e6de-4166-9818-7b167e61a280
Automatique 5 rapports,Traction,17626224,ea1ddced-e98e-47ef-b903-063a7ac00413
Automatique 5 rapports,Traction,26105506,66de1e9a-1e69-436f-bc0d-98d9526873e4
Automatique 6 rapports,Transmission intégrale,25471229,36d128c3-d98c-45c0-9539-98a55eeabdac
Mécanique 6 rapports,Traction,15626582,a392c620-b02f-4cb9-b538-8ac8824bc6e6
Automatique 8 rapports,Propulsion,54741443,02f48181-f2f3-4779-be85-61a8fc762f5f
Automatique 8 rapports,Transmission intégrale,121781184,af77236f-d3a2-45d6-ad1f-26d0c690742e
Mécanique robotisée 6 rapports à double embrayage,Traction,19562438,21199fd2-bc1d-4005-a356-3c3fc414839d
Mécanique 6 rapports,Propulsion,30411913,219447a4-c7f2-4912-bf7a-94c5233e0333
Automatique à variation continue 7 rapports,Traction,20437073,189d5c95-244b-4d2f-8911-f300e1fa191a
Mécanique 6 rapports,Transmission Intégrale,29897815,19ff84bb-5274-476a-8c3f-018de4d1ff81
Mécanique 6 rapports,Traction,16451142,6a0187a7-71a5-486e-b058-19a241998cef
Mécanique 5 rapports,Traction,7344260,f47a8e8a-a828-49e6-ac91-58e78fdef7e8
Variateur,,1468184,b840e5e5-0d85-450f-8de1-5e92d55818b0
Mécanique 6 rapports,Propulsion,22917430,f2ad4c98-bd61-4709-ac79-5c16569114bc
Mécanique 6 rapports,Traction,22466759,18e0062d-2b27-49ca-9887-c2f5b0dab892
Mécanique 6 rapports,Propulsion,30359836,1e606d41-0a97-4e26-a655-9ff85b898a21
Mécanique 6 rapports,Traction,16491202,9c30b412-a7ae-4420-ba07-5caf62da2fd2
Mécanique robotisée 7 rapports à double embrayage,Transmission intégrale,102295527,06e6d3c2-8983-44e1-81b3-42b5f899a641
Mécanique 5 rapports,Traction,16624734,71f1c701-555b-41f1-a4c7-7917eafe88b8
Mécanique 6 rapports,Traction,21632184,a30468f2-dca7-4396-b902-b45a3ee09cbd
Mécanique 6 rapports,Traction,18661097,372b7f1a-bfdc-4c9f-af26-ddb9bfce6cee
Automatique séquentielle 8 rapports,Transmission intégrale permanente,60757060,431d72cf-d33b-4e59-a5db-a2713fe1972e
Mécanique 6 rapports,Traction,12284944,002018e4-4332-4e6e-930f-a8807a056da6
Mécanique 5 rapports,Traction,13386583,50e71c91-9cff-4182-a093-f9fb3cf283ed
Mécanique 6 rapports,Traction,26178949,9ad9a50c-1fe4-4294-955b-483267beb9bc
Automatique 8 rapports,Propulsion,21665567,b953f74a-d2f5-4773-8155-e66fa37cd1fb
Automatique,Propulsion,28252033,22f91632-a98f-44b2-aca9-f53c275c659e
Mécanique 6 rapports,Traction,26472719,04472dd9-c092-48fa-b0a0-1d13522bc67d
Mécanique 6 rapports,Traction,15990457,f216a8bb-9463-4dbf-b2d6-29ddb1d92110
Mécanique robotisée 7 rapports à double embrayage,Traction,24703420,a245de7e-bd66-4091-b014-f887997d5a00
Mécanique 6 rapports,Transmission intégrale,24770186,b5e06596-6215-4f23-b39f-398e4618d63e
Robotisée simple embrayage 5,Traction,7177345,f5307e6a-0695-422d-953c-e1e328cd2fec
Automatique séquentielle 8 rapports,Transmission intégrale,51810416,b4a83593-cb0b-4bd4-9df1-4a850ccc95fd
Mécanique robotisée 6 rapports à double embrayage,Traction,15155882,62ca7891-7e74-4f10-86ba-dfcfb65d8fbc
Automatique séquentielle 6 rapports,Transmission intégrale,34952001,40f0e637-b871-4c5c-a6e2-f89b7d47d654
Auto séquent. 9,Transmission intégrale,55549312,be809d5d-be2a-4b69-9188-5c755655329d
Mécanique 5 rapports,Traction,13687030,be466093-36a3-4a4d-a5b2-1eff8daa52e0
Mécanique 5 rapports,Propulsion,15766123,17ca22b8-0a7f-4373-89c5-c71fdba13e4b
Manuelle,,9446721,532412d0-65cc-4bdb-a2b4-13feeddfd078
Mécanique 5 rapports,Traction,16023840,2fe1d8c8-c728-4221-b294-6aa6c7d58c3c
Automatique séquentielle 6 rapports,Transmission intégrale,35486129,9c0a0ee5-6bbe-469e-a2b5-90f356d7cbd8
Automatique séquentielle 7 rapports,Propulsion,28375550,cf1140f7-17bd-4c5d-9edf-29c2970b8113
Automatique 6 rapports,Transmission intégrale enclenchable,28630596,0ec88b57-239e-4a72-9f6c-5be0e36f6444
Manuelle 5,,6676600,008eea51-784f-4f16-8c86-8eaa14b0b4cd
Manuelle,,3734222,3ad7866a-29ff-455b-8b37-70f8fa6e6422
Automatique 8 rapports,Transmission intégrale,35920108,ecd85114-0dad-4534-927b-ebbd014f0161
Mécanique 6 rapports,Traction,23822109,77a1db6d-5fd1-447f-aa6e-1b81e8958b8d
Automatique 4 rapports,Traction,17374516,e66a61d5-76cd-441c-9059-77288b1f63a3
Automatique 5 rapports,Propulsion,31179722,60862240-fe81-4c77-aa64-cd0fc0297a64
Automatique 8 rapports,Propulsion,22132929,e2628ff3-c037-4e7b-8bc6-f5a744ea7033
Automatique 6 rapports,Traction,17325777,7b9bc4ff-3d7c-4907-ae2b-e760c3f160c8
Mécanique 5 rapports,Traction,10275287,dd5170fd-d9f4-492f-bdab-ed1f9c0feb8f
Manuelle,,1333317,ed338f25-f24d-4077-84c4-909166ff7bdc
Mécanique 5 rapports,Traction,15215971,bb62a04b-18fa-43f9-aca0-25cbdabbd63b
