Predicted,RealPrice
21717463.552143,25504612
18525045.261186,16825032
18672008.678969,19709323
33765316.470148,36748006
23197685.617105,21298354
16652893.099478,17793139
20230371.757148,22720470
3901998.996116,3932517
91196395.101403,63294168
6617333.030763,6475634
29525374.417216,28161899
15794772.071971,17592841
40915035.490777,38256918
22870849.479378,20704137
9501620.053747,9480772
19532293.915534,20420381
1650249.526520,1601716
21047324.532166,20697460
45858795.292248,47283681
28240978.635247,26910036
24238450.885460,28469022
26229056.751793,26174943
14281769.054639,13887328
6284936.223777,5791283
13661532.022051,14287924
27630232.450905,26405953
22124737.256955,21812452
11003074.422499,12084646
23844470.438344,24770186
13304865.694801,12652157
8537459.420434,7878388
38806817.655556,29397070
19014467.321716,17803154
27976272.218292,25742299
17327923.999587,19642557
21327242.299008,17158862
23311049.909715,23615134
6664848.947639,6442919
6329150.073273,6336093
45130817.170544,48538882
40375128.921995,39271761
23200144.977810,24570556
39615318.165127,40576369
29216621.561356,29276891
17195244.872957,16708192
30125389.418722,31313254
18785586.686981,18961544
11595857.259978,11471066
11102179.793852,12451859
19564176.899307,22693763
30681334.551956,29170065
8943546.310200,7871711
36140131.533794,41161239
37974302.252104,38223535
26571908.976578,28510417
39168556.835175,35332567
17601409.681202,16018499
16825112.047895,15389563
23220009.535149,23555045
27725050.176955,26773166
117357144.322450,94636799
13812915.027908,15953736
18621987.391384,17225628
12240240.128475,12385093
25737629.697263,26345864
14938119.537633,13734434
8755265.666337,8845160
22806889.885911,19695970
21144541.928217,21398503
31250997.295952,29730900
23221191.546906,23081006
24692435.759457,23468249
30699186.341070,33716830
16275932.058117,15165897
21805343.732537,23087683
19234727.056042,18494182
34869832.347089,33423060
26218885.151483,21765716
9210344.367812,6249298
30370476.440520,25934585
24372284.689096,22633674
40756475.874950,45856892
27350578.036980,25457876
15554718.921250,16524585
10492039.906211,11318172
25727179.368312,24588582
17219907.824718,18394033
16067321.097385,16350993
36847606.360599,39124876
25998841.928988,28709380
15967783.393622,14886147
61004580.677049,43676982
11573933.818514,12198148
26638737.082156,26883998
21123081.619035,20230098
25413390.319020,24616624
28074311.023100,31046190
30337556.371601,30291734
26964740.675664,18687803
1203023.396333,1134354
15203329.892230,15329474
25405828.393410,26299127
51041219.355730,51543352
16286856.932042,17125479
34805501.451997,34417873
9548472.802180,10239234
50708660.593678,53880162
21235453.807992,20603988
9413665.507792,8045303
15650055.914824,16387047
14751999.485923,15238672
31166700.626852,29844402
9217648.761453,8717637
18021427.387445,18634391
29352430.115189,26372570
16562724.377961,16424436
11097731.401894,10983007
16245995.408653,15029027
29257044.164878,28089792
35002513.439913,41730085
27048222.745190,26769160
27158857.699282,26252391
13487146.057694,14137700
2562815.299821,2736738
28175129.518343,27407443
12005509.751052,12852455
21143916.063171,20430396
874147.000029,630939
63431306.916662,57518241
24145670.520698,25070633
8822713.281653,8879878
19330863.272480,22633674
1632054.217316,1650456
20594139.170830,21164822
20531800.794585,19695302
49610515.992712,53018881
94275635.321719,92504293
17131381.235736,14988967
13898883.368872,14695197
15537335.586663,16444466
26184188.811805,25437846
38032354.218004,34050660
25403815.916992,23701930
28716565.735656,28842912
18097660.477399,18734540
24385363.789193,23898890
9711618.412053,9714453
19747314.987966,19215255
24018014.693170,23987688
36763102.148165,39128882
21085415.184438,23034270
